"id_number","policy_number","amount","payment_date"
"9209097510182","CMB_1",448,"2023-09-25"
"8802225084186","CMB_1",218,"2023-09-25"
"2001014800086","PET_1",3547,"2023-09-25"
"9905027771188","FB_2",75000,"2023-09-25"
"082598916","MTB_1",178,"2023-09-25"
"493545611","MTB_1",178,"2023-09-25"
"418910378","MTB_1",178,"2023-09-25"
"091297116","MTB_1",178,"2023-09-25"
"862439179","MTB_1",178,"2023-09-25"
"626629435","MTB_1",178,"2023-09-25"
"479703031","MTB_1",178,"2023-09-25"
"922785776","MTB_1",178,"2023-09-25"
"718632708","MTB_1",178,"2023-09-25"
"411428096","MTB_1",178,"2023-09-25"
"692607506","MTB_1",178,"2023-09-25"
"156315429","MTB_1",178,"2023-09-25"
"737372204","MTB_1",178,"2023-09-25"
"165052252","MTB_1",178,"2023-09-25"
"189949481","MTB_1",178,"2023-09-25"
"440074820","MTB_1",178,"2023-09-25"
"318944899","MTB_1",178,"2023-09-25"
"042959072","MTB_1",178,"2023-09-25"
"913898664","MTB_1",178,"2023-09-25"
"316174624","MTB_1",178,"2023-09-25"
"242479567","MTB_1",178,"2023-09-25"
"535356966","MTB_1",178,"2023-09-25"
"655959249","MTB_1",178,"2023-09-25"
"146305714","MTB_1",178,"2023-09-25"
"663611859","MTB_1",178,"2023-09-25"
"593358177","MTB_1",178,"2023-09-25"
"298023559","MTB_1",178,"2023-09-25"
"794327315","MTB_1",178,"2023-09-25"
"230763484","MTB_1",178,"2023-09-25"
"020715053","MTB_1",178,"2023-09-25"
"848222855","MTB_1",178,"2023-09-25"
"350004161","MTB_1",178,"2023-09-25"
"503587244","MTB_1",178,"2023-09-25"
"716339781","MTB_1",178,"2023-09-25"
"245140828","MTB_1",178,"2023-09-25"
"787002171","MTB_1",178,"2023-09-25"
"611156352","MTB_1",178,"2023-09-25"
"653815476","MTB_1",178,"2023-09-25"
"901419137","MTB_1",178,"2023-09-25"
"136754881","MTB_1",178,"2023-09-25"
"357533519","MTB_1",178,"2023-09-25"
"899761889","MTB_1",178,"2023-09-25"
"025053862","MTB_1",178,"2023-09-25"
"343786197","MTB_1",178,"2023-09-25"
"545734308","MTB_1",178,"2023-09-25"
"841309776","MTB_1",178,"2023-09-25"
"878523568","MTB_1",178,"2023-09-25"
"138453547","MTB_1",178,"2023-09-25"
"161287311","MTB_1",178,"2023-09-25"
"649522492","MTB_1",178,"2023-09-25"
"016824738","MTB_1",178,"2023-09-25"
"252025192","MTB_1",178,"2023-09-25"
"411403294","MTB_1",178,"2023-09-25"
"541632390","MTB_1",178,"2023-09-25"
"344501723","MTB_1",178,"2023-09-25"
"628749959","MTB_1",178,"2023-09-25"
"293347166","MTB_1",178,"2023-09-25"
"911362583","MTB_1",178,"2023-09-25"
"281287588","MTB_1",178,"2023-09-25"
"935907767","MTB_1",178,"2023-09-25"
"487790579","MTB_1",178,"2023-09-25"
"072866035","MTB_1",178,"2023-09-25"
"838502355","MTB_1",178,"2023-09-25"
"770765916","MTB_1",178,"2023-09-25"
"567050692","MTB_1",178,"2023-09-25"
"869211009","MTB_1",178,"2023-09-25"
"103965207","MTB_1",178,"2023-09-25"
"501983459","MTB_1",178,"2023-09-25"
"875513235","MTB_1",178,"2023-09-25"
"936065704","MTB_1",178,"2023-09-25"
"802184298","MTB_1",178,"2023-09-25"
"990425719","MTB_1",178,"2023-09-25"
"675355977","MTB_1",178,"2023-09-25"
"595170067","MTB_1",178,"2023-09-25"
"417571822","MTB_1",178,"2023-09-25"
"037755311","MTB_1",178,"2023-09-25"
"876192196","MTB_1",178,"2023-09-25"
"436730072","MTB_1",178,"2023-09-25"
"211939067","MTB_1",178,"2023-09-25"
"438454239","MTB_1",178,"2023-09-25"
"606810592","MTB_1",178,"2023-09-25"
"779157209","MTB_1",178,"2023-09-25"
"408593392","MTB_1",178,"2023-09-25"
"974547779","MTB_1",178,"2023-09-25"
"102657174","MTB_1",178,"2023-09-25"
"498562858","MTB_1",178,"2023-09-25"
"850431968","MTB_1",178,"2023-09-25"
"523195242","MTB_1",178,"2023-09-25"
"595428961","MTB_1",178,"2023-09-25"
"094618640","MTB_1",178,"2023-09-25"
"736599644","MTB_1",178,"2023-09-25"
"089194270","MTB_1",178,"2023-09-25"
"449581949","MTB_1",178,"2023-09-25"
"242114807","MTB_1",178,"2023-09-25"
"764345100","MTB_1",178,"2023-09-25"
"058019124","MTB_1",178,"2023-09-25"
"410277322","MTB_1",178,"2023-09-25"
"429756601","MTB_1",178,"2023-09-25"
"556857057","MTB_1",178,"2023-09-25"
"724457754","MTB_1",178,"2023-09-25"
"819078972","CMB_2",250,"2023-09-25"
"151039826","CMB_2",250,"2023-09-25"
"067410206","CMB_2",250,"2023-09-25"
"207955682","CMB_2",250,"2023-09-25"
"090515651","CMB_2",250,"2023-09-25"
"096570253","CMB_2",250,"2023-09-25"
"157353887","CMB_2",250,"2023-09-25"
"627470425","CMB_2",250,"2023-09-25"
"555316234","CMB_2",250,"2023-09-25"
"794273312","CMB_2",250,"2023-09-25"
"414586231","CMB_2",250,"2023-09-25"
"167606824","CMB_2",250,"2023-09-25"
"259254722","CMB_2",250,"2023-09-25"
"889374031","CMB_2",250,"2023-09-25"
"111021316","CMB_2",250,"2023-09-25"
"374603948","CMB_2",250,"2023-09-25"
"005983455","CMB_2",250,"2023-09-25"
"301785629","CMB_2",250,"2023-09-25"
"899099339","CMB_2",250,"2023-09-25"
"795870305","CMB_2",250,"2023-09-25"
"829369448","CMB_2",250,"2023-09-25"
"091860799","CMB_2",250,"2023-09-25"
"020181320","CMB_2",250,"2023-09-25"
"765859214","CMB_2",250,"2023-09-25"
"056717317","CMB_2",250,"2023-09-25"
"620836625","CMB_2",250,"2023-09-25"
"031015128","CMB_2",250,"2023-09-25"
"455393634","CMB_2",250,"2023-09-25"
"003189901","CMB_2",250,"2023-09-25"
"306968763","CMB_2",250,"2023-09-25"
"111256865","CMB_2",250,"2023-09-25"
"101004624","CMB_2",250,"2023-09-25"
"667539907","CMB_2",250,"2023-09-25"
"594154283","CMB_2",250,"2023-09-25"
"950815224","CMB_2",250,"2023-09-25"
"763325199","CMB_2",250,"2023-09-25"
"090524354","CMB_2",250,"2023-09-25"
"056979058","CMB_2",250,"2023-09-25"
"947643045","CMB_2",250,"2023-09-25"
"323618847","CMB_2",250,"2023-09-25"
"718262607","CMB_2",250,"2023-09-25"
"887530856","CMB_2",250,"2023-09-25"
"654638139","CMB_2",250,"2023-09-25"
"329637887","CMB_2",250,"2023-09-25"
"409053949","CMB_2",250,"2023-09-25"
"119557083","CMB_2",250,"2023-09-25"
"105582078","CMB_2",250,"2023-09-25"
"204826353","CMB_2",250,"2023-09-25"
"151664839","CMB_2",250,"2023-09-25"
"120280414","CMB_2",250,"2023-09-25"
"710118359","CMB_2",250,"2023-09-25"
"890455907","CMB_2",250,"2023-09-25"
"751071794","CMB_2",250,"2023-09-25"
"095523208","CMB_2",250,"2023-09-25"
"564588273","CMB_2",250,"2023-09-25"
"842655172","CMB_2",250,"2023-09-25"
"860962188","CMB_2",250,"2023-09-25"
"077841236","CMB_2",250,"2023-09-25"
"054910133","CMB_2",250,"2023-09-25"
"933570293","CMB_2",250,"2023-09-25"
"335538241","CMB_2",250,"2023-09-25"
"645570497","CMB_2",250,"2023-09-25"
"544017789","CMB_2",250,"2023-09-25"
"049208105","CMB_2",250,"2023-09-25"
"392030954","CMB_2",250,"2023-09-25"
"661440516","CMB_2",250,"2023-09-25"
"181234622","CMB_2",250,"2023-09-25"
"499591666","CMB_2",250,"2023-09-25"
"019205636","CMB_2",250,"2023-09-25"
"382015655","CMB_2",250,"2023-09-25"
"789430682","CMB_2",250,"2023-09-25"
"780814121","CMB_2",250,"2023-09-25"
"428831977","CMB_2",250,"2023-09-25"
